ramp,Asc.ver,Cus.glo,Dal.can,Des.ill,Hel.rig,Mon.fis,Oxa.str,Phy.pum,Rue.hum,Sch.nut,Sis.cam,Amb.art,Phy.vir,Car.spp,Dic.oli,And.ger,And.sco,Bou.cur,Pan.vir,Sor.nut,Spo.asp,Tri.dac,Amb.art,Amb.psi,Amo.can,Ast.eri,Eup.ser,Kuh.eup,Les.cap,Ros.ark,Rue.sp,Sal.leu,Sol.can,Sol.mis,Sol.rig,Sym.orb,Teu.can,Ver.bal
11,0.25,0,0,0,0,0,0,1.5,0,0,0,0,0,8,1,60,3,0,0,12.5,5.5,0,1.5,0.5,0,0.75,0.75,0,0.75,0,0,0,12.5,1.5,16.25,0,0,0
12,0.25,0.25,0,0,0,0,0,0.75,0,0,0,0,0,5.75,2.25,60,10,0,0,10,4.25,0,1.5,0,0,0.5,0.25,0,0.5,0,0,0,21.25,0,0,0,0.25,1.25
13,1.25,0,0,0,0.75,0,0,2,0,1.25,0,0,0,7.25,0.5,75,0,0,0,10,2.75,0,1,0,0,1,0,0,0,0,0,0,17.5,0,0,0,1.5,0
14,1,0,0,0,16.25,0,0,0,0,0,0,0,0,1.75,0,80,0,0,0,10,0,0,0.75,0,0,0,0,1.75,0,3.75,0,0.75,7.5,0,0,0,0,0.75
15,0,0,0,0,0,0,0,2.75,0.25,8,0,0,0,4,0.25,90,0,0,0.5,10,1.75,0,0.5,0,0,0,0,0,0,0,0,3.75,8.75,0,0,0,0,0
1,0.25,0,0,0,0,0,0.5,1.75,0,2.5,0,0,0,1,0.5,90,0,0,13.75,8.75,0,0,0.25,0,0,0,0,0,0,0,0,0,12,0,0,2,0.25,0
2,0.25,0,0,0,0,0,0,0.25,0,0,0,0,1.25,3.5,1.5,58.75,13.25,0.25,1,10,13.75,0,0.5,0,0,2,0,1.25,0,0,0,1.75,0.75,52.5,0,0,0,1.25
3,0.75,0,1.25,0,0.75,0,0,5.75,0,0,0,0,0,1.25,1.5,83.75,0.75,0,0,13.75,11.25,0,0.5,0.5,0,5.5,0,0,0,0,0,0,15,0,0.5,0,0,0
4,0.25,0,0,0,1.75,10,0.25,4,0,0,0,0,0,6.75,1.25,81.25,0,0,1,18.75,6.25,0,0,0,0,4.5,0.25,1.25,0,3.75,0,0,7,3.5,0,0,0,0
5,0,0,3.75,0,0,0,1.25,2.25,0,0,1,0,0,4.75,1.75,90,0.5,0,1.5,10,1.5,1.5,0.5,0,1.25,1.5,0,0,0,12.5,0,0,5.25,0,0,2.5,0,0
6,1,0,1.25,3,0,0,0.5,0,2.5,0,0,0,1,5.5,1.25,95,2,0,0,8.75,2.5,0,0.5,0,0,2,0,0,0,0,0.75,3.75,15,0,0,0,0,1.5
7,1,0,0.5,0,0,0,0,2.75,0,7.5,0,0,1.75,4.25,2.5,98.75,0,0,0,5.75,0,0,0,0,0,3,0,0,0,0,0,1.5,6.75,4,0,0,0,1.5
8,0.25,0,0,0,0,0,1.25,1,0,0.75,0,0,0,2,0.5,96.25,0,0,0,6.25,1,0,0.5,0,0,3.75,0,0,0,0,0,3.5,3.75,13.75,0,0,0,0
9,1,0,0,0,0,0,0.5,1.75,1,0,0.5,0,0.25,1,1.75,93.75,1,0,0,6.25,2,0,1,1.25,3.25,3,0,0,0,0,1,0,9.25,0,0,0,0,0.75
10,1.25,0,3.5,0,0.5,0,0,3,0,0,0,0,0,7.25,1.5,87.5,6.25,0.5,0.5,5,0.75,2.5,0,0,6.25,0,0,3,1.25,0,0.5,0,4.25,30,11.25,0,0,0
11,0.25,0.25,0,0,0,0,0.5,2.25,0,0,0,0,0,7.5,2,60,4.5,0,0,13.75,3.25,0,2.25,0.25,0,0.75,1.25,0,0,0,0,0,20,0.5,20,0,0,0
12,0,0,0,0,0,0,0.25,1,0,0,0.25,0,1.75,5,2.5,52.5,18.75,0,0,7.5,7.5,0,1.5,0,0,0.75,0.5,0,0.75,0,0,0,23.75,0,0,0,0,1.5
13,1,0,0,0,1.25,0,0.5,0,0,5.5,0,0,1.5,4,1.75,81.25,0,0,0,8.75,2.5,0,1.25,0,0,1.5,0.5,0,0,0,0,0,15,0,0,0,1.5,0
14,0.75,0,0,0,28.75,0,0.5,0,0,0,0,0,1.25,3,0,87.5,0,0,0,8.25,0,0,0.75,0,0,0,0.25,1,0,1.25,0,0,1,14,0,0,0,0.75
15,0,0,0,0,0,0,0,3,0.5,10,0,0,0,3,1,93.75,0,0,0.75,11.25,2.5,0,0.25,0,0,0,0,0,0,0,0.25,0.5,2.75,11.25,0,0,0,0
1,0.5,0,0,0,0,0,0.25,1.5,0,2.5,0,0,0,3.25,0.5,92.5,0,0,5.75,11.25,0,0,0,0,0,0,0,0,0,0,0,0,14.25,0,0,2,0,0
2,0.25,0.25,0,0,0,0,0,1,0,0,0,0.25,0,2.75,0.5,57.5,18,1.5,0,3.25,7.5,0,0,0,0,2.25,0,0.75,0,0,0,1,0.75,50,0,0,0,0.5
3,0.75,0,1.25,0,2.75,0,0,4.75,0,0,0,0.25,0,1,0.5,90,0.5,0,0,10,8.25,0,0,0.5,0,9.25,0,0,0,0,0,0,12.5,0,0,0,0,0
4,0.25,0,0,0,2,11.25,0.25,2.75,0,0,0,0.25,0,6,1.25,0,0,0,0.5,16.25,5,0,0,0,0,9.5,0,0.5,0,3.75,0,5.5,2,0,0,0,0,0
5,0,0.5,3.25,0,0,0,0.25,2,0,0,0.25,0,0,5.25,1.75,87.5,0.25,0,0.25,7.5,0.75,1,0,0,1.75,2,0.25,0,0,18.75,0,0.25,6.25,0,0,2.5,0,0
6,1,0,1.25,2,0,0,0,0,2,0,0,0,1.25,5,2.5,90,1.75,0,0,13.75,2.75,0,0,0,0,2,0,0,0,0,1.75,2.75,20,0,0,0,0,1.5
7,1,0,1.5,0,0,0,0.25,0,0,6.25,0,0,3,3.25,1.75,97.5,0.5,0,0,8.75,0.5,0,0,0,0,3.25,0,0,0,0,0,2,6.25,5,0,0,0,1.25
8,0.75,0,0,0,0,0,0.75,1,0,0,0,0,0,2,0,96.25,0,0,0,10,1.5,0,0,0,0,0,0,0,0,0,0,7.5,5.5,11.75,0,0,0,0
9,1.25,0,0.75,0,0,0,0.25,0,0.5,0,0.5,0.25,1.25,1.75,2,82.5,3.75,0,0,4.25,1.5,0,0,1,3.25,5,0,0,0,0,0,0,9.5,0,0.75,0,0,3.25
10,1,0,2.25,0,0,0,0,0,0.25,0,0,0.5,2.75,4.75,1.75,77.5,17,0.25,0,3,0.25,2,0,0,8.75,0.5,0,2.75,1.25,0,0,0,3.75,20,12.5,0,0,0
11,0.5,0,0,0,0,0,0.25,2,0,0,0,0.75,0,6,2.5,72.5,6.75,0,0,10,3.75,0,0.5,0,0,1.25,0.75,0,0,0,0,0,13.75,1.5,13.75,0,0,0
12,0,0.25,0,0,0,0,0,0,0,0,0,1.75,1,3.5,2.75,57.5,16.25,0,0,4.25,3.25,0,0,0,0,1.25,0.5,0,0.25,0,0,0,17.5,0,0,0,0,1.75
13,1,0,0,0,4.5,0,0.25,0,0,3,0,1,1.5,5.25,2.75,83.75,0,0,0,5.5,4.25,0,0,0,0,3,0.75,0,0,0,0,0.25,8.75,0,0,0,1.75,0
14,0.75,0,0,0,43.75,0,0,0,0,0,0,0.25,0.25,2.5,0.25,78.75,0,0,0,18.25,0.5,0,0,0,0,0,0.5,1.25,0,2.75,0,0.75,14.25,0,0,0,0.25,1.25
15,0,0,0,0,0,0,0,2,0.5,6.25,0,0.5,0.5,2.5,1.25,96.25,0,0,1.25,7,3.75,0,0,0,0,0,0,0,0.25,0,0,2.25,13.25,0,0,0,0,0
