"","Seq","AOU","English_Common_Name","French_Common_Name","Spanish_Common_Name","ORDER","Family","Genus","Species"
"154",487,981,"Bermuda Petrel                                     ","Pétrel des Bermudes                                ","Pterodroma cahow                                   ","Procellariiformes                                  ","Procellariidae                                     ","Pterodroma                                         ","cahow                                             "
"155",490,980,"Black-capped Petrel                                ","Pétrel diablotin                                   ","Pterodroma hasitata                                ","Procellariiformes                                  ","Procellariidae                                     ","Pterodroma                                         ","hasitata                                          "
"156",493,9870,"Juan Fernandez Petrel                              ","Pétrel de Juan Fernandez                           ","Pterodroma externa                                 ","Procellariiformes                                  ","Procellariidae                                     ","Pterodroma                                         ","externa                                           "
"157",496,985,"Galapagos Petrel                                   ","Pétrel des Galapagos                               ","Pterodroma phaeopygia                              ","Procellariiformes                                  ","Procellariidae                                     ","Pterodroma                                         ","phaeopygia                                        "
"158",511,983,"Cook's Petrel                                      ","Pétrel de Cook                                     ","Pterodroma cookii                                  ","Procellariiformes                                  ","Procellariidae                                     ","Pterodroma                                         ","cookii                                            "
"159",514,1003,"Stejneger's Petrel                                 ","Pétrel de Stejneger                                ","Pterodroma longirostris                            ","Procellariiformes                                  ","Procellariidae                                     ","Pterodroma                                         ","longirostris                                      "
"160",517,20060,"Tahiti Petrel                                      ","Pétrel de Tahiti                                   ","Pterodroma rostrata                                ","Procellariiformes                                  ","Procellariidae                                     ","Pterodroma                                         ","rostrata                                          "
"161",520,1010,"Bulwer's Petrel                                    ","Pétrel de Bulwer                                   ","Bulweria bulwerii                                  ","Procellariiformes                                  ","Procellariidae                                     ","Bulweria                                           ","bulwerii                                          "
"162",529,1008,"Parkinson's Petrel                                 ","Puffin de Parkinson                                ","Procellaria parkinsoni                             ","Procellariiformes                                  ","Procellariidae                                     ","Procellaria                                        ","parkinsoni                                        "
"163",532,881,"Streaked Shearwater                                ","Puffin leucomèle                                   ","Calonectris leucomelas                             ","Procellariiformes                                  ","Procellariidae                                     ","Calonectris                                        ","leucomelas                                        "
"164",535,880,"Cory's Shearwater                                  ","Puffin cendré                                      ","Calonectris diomedea                               ","Procellariiformes                                  ","Procellariidae                                     ","Calonectris                                        ","diomedea                                          "
"165",541,910,"Pink-footed Shearwater                             ","Puffin à pieds roses                               ","Puffinus creatopus                                 ","Procellariiformes                                  ","Procellariidae                                     ","Puffinus                                           ","creatopus                                         "
"166",544,951,"Flesh-footed Shearwater                            ","Puffin à pieds pâles                               ","Puffinus carneipes                                 ","Procellariiformes                                  ","Procellariidae                                     ","Puffinus                                           ","carneipes                                         "
"167",547,890,"Great Shearwater                                   ","Puffin majeur                                      ","Puffinus gravis                                    ","Procellariiformes                                  ","Procellariidae                                     ","Puffinus                                           ","gravis                                            "
"168",550,961,"Wedge-tailed Shearwater                            ","Puffin fouquet                                     ","Puffinus pacificus                                 ","Procellariiformes                                  ","Procellariidae                                     ","Puffinus                                           ","pacificus                                         "
"169",553,962,"Buller's Shearwater                                ","Puffin de Buller                                   ","Puffinus bulleri                                   ","Procellariiformes                                  ","Procellariidae                                     ","Puffinus                                           ","bulleri                                           "
"170",556,950,"Sooty Shearwater                                   ","Puffin fuligineux                                  ","Puffinus griseus                                   ","Procellariiformes                                  ","Procellariidae                                     ","Puffinus                                           ","griseus                                           "
"171",559,960,"Short-tailed Shearwater                            ","Puffin à bec grêle                                 ","Puffinus tenuirostris                              ","Procellariiformes                                  ","Procellariidae                                     ","Puffinus                                           ","tenuirostris                                      "
"172",562,963,"Christmas Shearwater                               ","Puffin de la Nativité                              ","Puffinus nativitatis                               ","Procellariiformes                                  ","Procellariidae                                     ","Puffinus                                           ","nativitatis                                       "
"173",565,900,"Manx Shearwater                                    ","Puffin des Anglais                                 ","Puffinus puffinus                                  ","Procellariiformes                                  ","Procellariidae                                     ","Puffinus                                           ","puffinus                                          "
"174",568,931,"Townsend's Shearwater                              ","Puffin de Townsend                                 ","Puffinus auricularis                               ","Procellariiformes                                  ","Procellariidae                                     ","Puffinus                                           ","auricularis                                       "
"175",571,930,"Black-vented Shearwater                            ","Puffin cul-noir                                    ","Puffinus opisthomelas                              ","Procellariiformes                                  ","Procellariidae                                     ","Puffinus                                           ","opisthomelas                                      "
"176",574,920,"Audubon's Shearwater                               ","Puffin d'Audubon                                   ","Puffinus lherminieri                               ","Procellariiformes                                  ","Procellariidae                                     ","Puffinus                                           ","lherminieri                                       "
"177",577,921,"Little Shearwater                                  ","Petit Puffin                                       ","Puffinus assimilis                                 ","Procellariiformes                                  ","Procellariidae                                     ","Puffinus                                           ","assimilis                                         "
"178",580,1090,"Wilson's Storm-Petrel                              ","Océanite de Wilson                                 ","Oceanites oceanicus                                ","Procellariiformes                                  ","Hydrobatidae                                       ","Oceanites                                          ","oceanicus                                         "
"179",583,1110,"White-faced Storm-Petrel                           ","Océanite frégate                                   ","Pelagodroma marina                                 ","Procellariiformes                                  ","Hydrobatidae                                       ","Pelagodroma                                        ","marina                                            "
"180",586,1040,"European Storm-Petrel                              ","Océanite tempête                                   ","Hydrobates pelagicus                               ","Procellariiformes                                  ","Hydrobatidae                                       ","Hydrobates                                         ","pelagicus                                         "
"181",589,1050,"Fork-tailed Storm-Petrel                           ","Océanite à queue fourchue                          ","Oceanodroma furcata                                ","Procellariiformes                                  ","Hydrobatidae                                       ","Oceanodroma                                        ","furcata                                           "
"182",598,1060,"Leach's Storm-Petrel                               ","Océanite cul-blanc                                 ","Oceanodroma leucorhoa                              ","Procellariiformes                                  ","Hydrobatidae                                       ","Oceanodroma                                        ","leucorhoa                                         "
"183",601,1080,"Ashy Storm-Petrel                                  ","Océanite cendré                                    ","Oceanodroma homochroa                              ","Procellariiformes                                  ","Hydrobatidae                                       ","Oceanodroma                                        ","homochroa                                         "
"184",604,1062,"Band-rumped Storm-Petrel                           ","Océanite de Castro                                 ","Oceanodroma castro                                 ","Procellariiformes                                  ","Hydrobatidae                                       ","Oceanodroma                                        ","castro                                            "
"185",607,1063,"Wedge-rumped Storm-Petrel                          ","Océanite téthys                                    ","Oceanodroma tethys                                 ","Procellariiformes                                  ","Hydrobatidae                                       ","Oceanodroma                                        ","tethys                                            "
"186",610,1070,"Black Storm-Petrel                                 ","Océanite noir                                      ","Oceanodroma melania                                ","Procellariiformes                                  ","Hydrobatidae                                       ","Oceanodroma                                        ","melania                                           "
"187",613,10090,"Markham's Storm-Petrel                             ","Océanite de Markham                                ","Oceanodroma markhami                               ","Procellariiformes                                  ","Hydrobatidae                                       ","Oceanodroma                                        ","markhami                                          "
"188",619,1030,"Least Storm-Petrel                                 ","Océanite minute                                    ","Oceanodroma microsoma                              ","Procellariiformes                                  ","Hydrobatidae                                       ","Oceanodroma                                        ","microsoma                                         "
"189",622,1120,"White-tailed Tropicbird                            ","Phaéton à bec jaune                                ","Phaethon lepturus                                  ","Phaethontiformes                                   ","Phaethontidae                                      ","Phaethon                                           ","lepturus                                          "
"190",625,1130,"Red-billed Tropicbird                              ","Phaéton à bec rouge                                ","Phaethon aethereus                                 ","Phaethontiformes                                   ","Phaethontidae                                      ","Phaethon                                           ","aethereus                                         "
"191",628,1131,"Red-tailed Tropicbird                              ","Phaéton à brins rouges                             ","Phaethon rubricauda                                ","Phaethontiformes                                   ","Phaethontidae                                      ","Phaethon                                           ","rubricauda                                        "
"192",631,1890,"Jabiru                                             ","Jabiru d'Amérique                                  ","Jabiru mycteria                                    ","Ciconiiformes                                      ","Ciconiidae                                         ","Jabiru                                             ","mycteria                                          "
"193",634,1880,"Wood Stork                                         ","Tantale d'Amérique                                 ","Mycteria americana                                 ","Ciconiiformes                                      ","Ciconiidae                                         ","Mycteria                                           ","americana                                         "
"194",637,1280,"Magnificent Frigatebird                            ","Frégate superbe                                    ","Fregata magnificens                                ","Suliformes                                         ","Fregatidae                                         ","Fregata                                            ","magnificens                                       "
"195",640,1281,"Great Frigatebird                                  ","Frégate du Pacifique                               ","Fregata minor                                      ","Suliformes                                         ","Fregatidae                                         ","Fregata                                            ","minor                                             "
"196",643,1282,"Lesser Frigatebird                                 ","Frégate ariel                                      ","Fregata ariel                                      ","Suliformes                                         ","Fregatidae                                         ","Fregata                                            ","ariel                                             "
"197",646,1140,"Masked Booby                                       ","Fou masqué                                         ","Sula dactylatra                                    ","Suliformes                                         ","Sulidae                                            ","Sula                                               ","dactylatra                                        "
"198",649,1142,"Nazca Booby                                        ","Fou de Grant                                       ","Sula granti                                        ","Suliformes                                         ","Sulidae                                            ","Sula                                               ","granti                                            "
"199",652,1141,"Blue-footed Booby                                  ","Fou à pieds bleus                                  ","Sula nebouxii                                      ","Suliformes                                         ","Sulidae                                            ","Sula                                               ","nebouxii                                          "
"200",655,1150,"Brown Booby                                        ","Fou brun                                           ","Sula leucogaster                                   ","Suliformes                                         ","Sulidae                                            ","Sula                                               ","leucogaster                                       "
"201",658,1160,"Red-footed Booby                                   ","Fou à pieds rouges                                 ","Sula sula                                          ","Suliformes                                         ","Sulidae                                            ","Sula                                               ","sula                                              "
"202",661,1170,"Northern Gannet                                    ","Fou de Bassan                                      ","Morus bassanus                                     ","Suliformes                                         ","Sulidae                                            ","Morus                                              ","bassanus                                          "
"203",664,1220,"Brandt's Cormorant                                 ","Cormoran de Brandt                                 ","Phalacrocorax penicillatus                         ","Suliformes                                         ","Phalacrocoracidae                                  ","Phalacrocorax                                      ","penicillatus                                      "
"204",667,1210,"Neotropic Cormorant                                ","Cormoran vigua                                     ","Phalacrocorax brasilianus                          ","Suliformes                                         ","Phalacrocoracidae                                  ","Phalacrocorax                                      ","brasilianus                                       "
"205",670,1200,"Double-crested Cormorant                           ","Cormoran à aigrettes                               ","Phalacrocorax auritus                              ","Suliformes                                         ","Phalacrocoracidae                                  ","Phalacrocorax                                      ","auritus                                           "
"206",673,1190,"Great Cormorant                                    ","Grand Cormoran                                     ","Phalacrocorax carbo                                ","Suliformes                                         ","Phalacrocoracidae                                  ","Phalacrocorax                                      ","carbo                                             "
"207",676,1240,"Red-faced Cormorant                                ","Cormoran à face rouge                              ","Phalacrocorax urile                                ","Suliformes                                         ","Phalacrocoracidae                                  ","Phalacrocorax                                      ","urile                                             "
"208",679,1230,"Pelagic Cormorant                                  ","Cormoran pélagique                                 ","Phalacrocorax pelagicus                            ","Suliformes                                         ","Phalacrocoracidae                                  ","Phalacrocorax                                      ","pelagicus                                         "
"209",682,1207,"unid. Cormorant                                    ","cormoran sp.                                       ","Phalacrocorax sp.                                  ","Suliformes                                         ","Phalacrocoracidae                                  ","Phalacrocorax                                      ","sp.                                               "
"210",685,1180,"Anhinga                                            ","Anhinga d'Amérique                                 ","Anhinga anhinga                                    ","Suliformes                                         ","Anhingidae                                         ","Anhinga                                            ","anhinga                                           "
"211",688,1250,"American White Pelican                             ","Pélican d'Amérique                                 ","Pelecanus erythrorhynchos                          ","Pelecaniformes                                     ","Pelecanidae                                        ","Pelecanus                                          ","erythrorhynchos                                   "
"212",691,1260,"Brown Pelican                                      ","Pélican brun                                       ","Pelecanus occidentalis                             ","Pelecaniformes                                     ","Pelecanidae                                        ","Pelecanus                                          ","occidentalis                                      "
"213",694,1014,"Pinnated Bittern                                   ","Butor mirasol                                      ","Botaurus pinnatus                                  ","Pelecaniformes                                     ","Ardeidae                                           ","Botaurus                                           ","pinnatus                                          "
"214",697,1900,"American Bittern                                   ","Butor d'Amérique                                   ","Botaurus lentiginosus                              ","Pelecaniformes                                     ","Ardeidae                                           ","Botaurus                                           ","lentiginosus                                      "
"215",700,20270,"Yellow Bittern                                     ","Blongios de Chine                                  ","Ixobrychus sinensis                                ","Pelecaniformes                                     ","Ardeidae                                           ","Ixobrychus                                         ","sinensis                                          "
"216",703,1910,"Least Bittern                                      ","Petit Blongios                                     ","Ixobrychus exilis                                  ","Pelecaniformes                                     ","Ardeidae                                           ","Ixobrychus                                         ","exilis                                            "
"217",706,10130,"Bare-throated Tiger-Heron                          ","Onoré du Mexique                                   ","Tigrisoma mexicanum                                ","Pelecaniformes                                     ","Ardeidae                                           ","Tigrisoma                                          ","mexicanum                                         "
"218",709,1940,"Great Blue Heron                                   ","Grand Héron                                        ","Ardea herodias                                     ","Pelecaniformes                                     ","Ardeidae                                           ","Ardea                                              ","herodias                                          "
"219",712,1920,"Great White Heron                                  ","Grand Héron (blanche)                              ","Ardea herodias occidentalis                        ","Pelecaniformes                                     ","Ardeidae                                           ","Ardea                                              ","herodias occidentalis                             "
"220",715,1950,"Gray Heron                                         ","Héron cendré                                       ","Ardea cinerea                                      ","Pelecaniformes                                     ","Ardeidae                                           ","Ardea                                              ","cinerea                                           "
"221",718,1960,"Great Egret                                        ","Grande Aigrette                                    ","Ardea alba                                         ","Pelecaniformes                                     ","Ardeidae                                           ","Ardea                                              ","alba                                              "
"222",721,20340,"Intermediate Egret                                 ","Héron intermédiaire                                ","Mesophoyx intermedia                               ","Pelecaniformes                                     ","Ardeidae                                           ","Mesophoyx                                          ","intermedia                                        "
"223",724,1962,"Chinese Egret                                      ","Aigrette de Chine                                  ","Egretta eulophotes                                 ","Pelecaniformes                                     ","Ardeidae                                           ","Egretta                                            ","eulophotes                                        "
"224",727,1961,"Little Egret                                       ","Aigrette garzette                                  ","Egretta garzetta                                   ","Pelecaniformes                                     ","Ardeidae                                           ","Egretta                                            ","garzetta                                          "
"225",730,1971,"Western Reef-Heron                                 ","Aigrette à gorge blanche                           ","Egretta gularis                                    ","Pelecaniformes                                     ","Ardeidae                                           ","Egretta                                            ","gularis                                           "
"226",733,1970,"Snowy Egret                                        ","Aigrette neigeuse                                  ","Egretta thula                                      ","Pelecaniformes                                     ","Ardeidae                                           ","Egretta                                            ","thula                                             "
"227",736,2000,"Little Blue Heron                                  ","Aigrette bleue                                     ","Egretta caerulea                                   ","Pelecaniformes                                     ","Ardeidae                                           ","Egretta                                            ","caerulea                                          "
"228",739,1990,"Tricolored Heron                                   ","Aigrette tricolore                                 ","Egretta tricolor                                   ","Pelecaniformes                                     ","Ardeidae                                           ","Egretta                                            ","tricolor                                          "
"229",742,1980,"Reddish Egret                                      ","Aigrette roussâtre                                 ","Egretta rufescens                                  ","Pelecaniformes                                     ","Ardeidae                                           ","Egretta                                            ","rufescens                                         "
"230",745,2001,"Cattle Egret                                       ","Héron garde-boeufs                                 ","Bubulcus ibis                                      ","Pelecaniformes                                     ","Ardeidae                                           ","Bubulcus                                           ","ibis                                              "
"231",751,2010,"Green Heron                                        ","Héron vert                                         ","Butorides virescens                                ","Pelecaniformes                                     ","Ardeidae                                           ","Butorides                                          ","virescens                                         "
"232",754,10141,"Striated Heron                                     ","Héron strié                                        ","Butorides striata                                  ","Pelecaniformes                                     ","Ardeidae                                           ","Butorides                                          ","striata                                           "
"233",757,10150,"Agami Heron                                        ","Héron agami                                        ","Agamia agami                                       ","Pelecaniformes                                     ","Ardeidae                                           ","Agamia                                             ","agami                                             "
"234",760,2020,"Black-crowned Night-Heron                          ","Bihoreau gris                                      ","Nycticorax nycticorax                              ","Pelecaniformes                                     ","Ardeidae                                           ","Nycticorax                                         ","nycticorax                                        "
"235",763,2030,"Yellow-crowned Night-Heron                         ","Bihoreau violacé                                   ","Nyctanassa violacea                                ","Pelecaniformes                                     ","Ardeidae                                           ","Nyctanassa                                         ","violacea                                          "
"236",766,2035,"unid Black-crowned / Yellow-crowned Night-Heron    ","unid Bihoreau gris / Bihoreau violacé              ","Nycticorax / Nyctanassa nycticorax / violacea      ","Pelecaniformes                                     ","Ardeidae                                           ","Nycticorax / Nyctanassa                            ","nycticorax / violacea                             "
"237",769,10170,"Boat-billed Heron                                  ","Savacou huppé                                      ","Cochlearius cochlearius                            ","Pelecaniformes                                     ","Ardeidae                                           ","Cochlearius                                        ","cochlearius                                       "
"238",772,1945,"unid. Heron / Egret                                ","unid héron / aigrette sp.                          ","""Ardeid"" sp.                                       ","Pelecaniformes                                     ","Ardeidae                                           ","""Ardeid""                                           ","sp.                                               "
"239",775,1840,"White Ibis                                         ","Ibis blanc                                         ","Eudocimus albus                                    ","Pelecaniformes                                     ","Threskiornithidae                                  ","Eudocimus                                          ","albus                                             "
"240",778,1850,"Scarlet Ibis                                       ","Ibis rouge                                         ","Eudocimus ruber                                    ","Pelecaniformes                                     ","Threskiornithidae                                  ","Eudocimus                                          ","ruber                                             "
"241",781,1860,"Glossy Ibis                                        ","Ibis falcinelle                                    ","Plegadis falcinellus                               ","Pelecaniformes                                     ","Threskiornithidae                                  ","Plegadis                                           ","falcinellus                                       "
"242",784,1870,"White-faced Ibis                                   ","Ibis à face blanche                                ","Plegadis chihi                                     ","Pelecaniformes                                     ","Threskiornithidae                                  ","Plegadis                                           ","chihi                                             "
"243",787,1861,"unid. Glossy Ibis / White-faced Ibis               ","unid Ibis falcinelle / Ibis à face blanche         ","Plegadis falcinellus / chihi                       ","Pelecaniformes                                     ","Threskiornithidae                                  ","Plegadis                                           ","falcinellus / chihi                               "
"244",790,1830,"Roseate Spoonbill                                  ","Spatule rosée                                      ","Platalea ajaja                                     ","Pelecaniformes                                     ","Threskiornithidae                                  ","Platalea                                           ","ajaja                                             "
"245",793,3260,"Black Vulture                                      ","Urubu noir                                         ","Coragyps atratus                                   ","Accipitriformes                                    ","Cathartidae                                        ","Coragyps                                           ","atratus                                           "
"246",796,3250,"Turkey Vulture                                     ","Urubu à tête rouge                                 ","Cathartes aura                                     ","Accipitriformes                                    ","Cathartidae                                        ","Cathartes                                          ","aura                                              "
"247",799,10230,"Lesser Yellow-headed Vulture                       ","Urubu à tête jaune                                 ","Cathartes burrovianus                              ","Accipitriformes                                    ","Cathartidae                                        ","Cathartes                                          ","burrovianus                                       "
"248",802,3255,"unid. Vulture                                      ","unid Urubu sp.                                     ","""Cathartid"" sp.                                    ","Accipitriformes                                    ","Cathartidae                                        ","""Cathartid""                                        ","sp.                                               "
"249",805,3240,"California Condor                                  ","Condor de Californie                               ","Gymnogyps californianus                            ","Accipitriformes                                    ","Cathartidae                                        ","Gymnogyps                                          ","californianus                                     "
"250",808,3261,"King Vulture                                       ","Sarcoramphe roi                                    ","Sarcoramphus papa                                  ","Accipitriformes                                    ","Cathartidae                                        ","Sarcoramphus                                       ","papa                                              "
"251",811,3640,"Osprey                                             ","Balbuzard pêcheur                                  ","Pandion haliaetus                                  ","Accipitriformes                                    ","Pandionidae                                        ","Pandion                                            ","haliaetus                                         "
"252",814,10240,"Gray-headed Kite                                   ","Milan de Cayenne                                   ","Leptodon cayanensis                                ","Accipitriformes                                    ","Accipitridae                                       ","Leptodon                                           ","cayanensis                                        "
"253",817,3271,"Hook-billed Kite                                   ","Milan bec-en-croc                                  ","Chondrohierax uncinatus                            ","Accipitriformes                                    ","Accipitridae                                       ","Chondrohierax                                      ","uncinatus                                         "
"254",820,3270,"Swallow-tailed Kite                                ","Milan à queue fourchue                             ","Elanoides forficatus                               ","Accipitriformes                                    ","Accipitridae                                       ","Elanoides                                          ","forficatus                                        "
"255",823,3280,"White-tailed Kite                                  ","Élanion à queue blanche                            ","Elanus leucurus                                    ","Accipitriformes                                    ","Accipitridae                                       ","Elanus                                             ","leucurus                                          "
"256",826,3300,"Snail Kite                                         ","Milan des marais                                   ","Rostrhamus sociabilis                              ","Accipitriformes                                    ","Accipitridae                                       ","Rostrhamus                                         ","sociabilis                                        "
"257",829,10270,"Double-toothed Kite                                ","Milan bidenté                                      ","Harpagus bidentatus                                ","Accipitriformes                                    ","Accipitridae                                       ","Harpagus                                           ","bidentatus                                        "
"258",832,3290,"Mississippi Kite                                   ","Milan du Mississippi                               ","Ictinia mississippiensis                           ","Accipitriformes                                    ","Accipitridae                                       ","Ictinia                                            ","mississippiensis                                  "
"259",835,10280,"Plumbeous Kite                                     ","Milan bleuâtre                                     ","Ictinia plumbea                                    ","Accipitriformes                                    ","Accipitridae                                       ","Ictinia                                            ","plumbea                                           "
"260",841,3520,"Bald Eagle                                         ","Pygargue à tête blanche                            ","Haliaeetus leucocephalus                           ","Accipitriformes                                    ","Accipitridae                                       ","Haliaeetus                                         ","leucocephalus                                     "
"261",844,3510,"White-tailed Eagle                                 ","Pygargue à queue blanche                           ","Haliaeetus albicilla                               ","Accipitriformes                                    ","Accipitridae                                       ","Haliaeetus                                         ","albicilla                                         "
"262",847,3521,"Steller's Sea-Eagle                                ","Pygargue empereur                                  ","Haliaeetus pelagicus                               ","Accipitriformes                                    ","Accipitridae                                       ","Haliaeetus                                         ","pelagicus                                         "
"263",850,10400,"Black-collared Hawk                                ","Busarelle à tête blanche                           ","Busarellus nigricollis                             ","Accipitriformes                                    ","Accipitridae                                       ","Busarellus                                         ","nigricollis                                       "
"264",853,3310,"Northern Harrier                                   ","Busard Saint-Martin                                ","Circus cyaneus                                     ","Accipitriformes                                    ","Accipitridae                                       ","Circus                                             ","cyaneus                                           "
"265",859,3320,"Sharp-shinned Hawk                                 ","Épervier brun                                      ","Accipiter striatus                                 ","Accipitriformes                                    ","Accipitridae                                       ","Accipiter                                          ","striatus                                          "
"266",862,3330,"Cooper's Hawk                                      ","Épervier de Cooper                                 ","Accipiter cooperii                                 ","Accipitriformes                                    ","Accipitridae                                       ","Accipiter                                          ","cooperii                                          "
"267",865,10300,"Bicolored Hawk                                     ","Épervier bicolore                                  ","Accipiter bicolor                                  ","Accipitriformes                                    ","Accipitridae                                       ","Accipiter                                          ","bicolor                                           "
"268",868,3340,"Northern Goshawk                                   ","Autour des palombes                                ","Accipiter gentilis                                 ","Accipitriformes                                    ","Accipitridae                                       ","Accipiter                                          ","gentilis                                          "
